round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_brier,fed_prevalence,fed_f1,fed_ece,fed_auprc_lift,fed_f1_best,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6872590494540922,0.09932049409885627,3.66096,3.66096,1.0,0.47254545806225473,0.21195047420557908,0.11183134046570165,0.2576932784751814,0.34083627633436275,1.8832863540842066,0.2797101741531577,0.2088626499571544,0.6497264050220697,0.6493623698866569,0.198631080064915,1.7439685947016332,0.25738972260118237,0.27057079318013344,0.4814264178276062,0.33876731759127077,0.21246539148634982,0.11389601892395189,0.02449498447811782,2.6341487456666073,0.021650529215181544,0.026564512933879618,0.00901718439237354
2.0,0.6588254265873477,0.22179214580671922,7.32192,7.32192,1.0,0.5186114164250987,0.22492105557526723,0.11183134046570165,0.26610248284848376,0.35767657965365424,1.9511278884620518,0.29254570135700997,0.21589253407737222,0.6572137151850954,0.6580133971923062,0.2055713170521629,1.8049034460934266,0.2733674775928297,0.2762368391260047,0.5068230032920837,0.3557365711635345,0.22529893624733274,0.11389601892395189,0.017066351994656958,1.9634767695970368,0.01614597840981459,0.0178040581719169,0.005485816688025801
3.0,0.6477897218496579,0.28701553461306517,10.98288,10.98288,1.0,0.47895038163909515,0.20085311778461434,0.11183134046570165,0.27341316744577576,0.32190716522736995,2.015990493729208,0.2950413869615037,0.22204432810603766,0.6602338491949463,0.6599372155949126,0.20839277097640002,1.8296756369995988,0.26948480845442535,0.2763813531170413,0.46223005652427673,0.3197760185663374,0.2014579455669494,0.11389601892395189,0.013145615013316245,1.619936757702817,0.012825812157490712,0.013448044047616283,0.0049004119617870635
4.0,0.6468304997891374,0.31070581157359545,14.64384,14.64384,1.0,0.5003648744224376,0.2067241660072337,0.11183134046570165,0.2837950507205653,0.33055760330321876,2.036999360168849,0.2988187257991151,0.22448953512643707,0.6635032298875819,0.6606746590276312,0.21071192929537297,1.850037703565959,0.27300850734725446,0.27643325804022806,0.47329092025756836,0.32834948756682325,0.20725622752071193,0.11389601892395189,0.00996620048812436,1.3126395002091158,0.010134646716606468,0.009905205249864614,0.004038129865921537
5.0,0.6470158549136553,0.330154393013666,18.3048,18.3048,1.0,0.5272669229475936,0.2178462795951404,0.11183134046570165,0.28047570947137235,0.3471367931688559,2.0524571340870024,0.2973304199048883,0.22668913799456808,0.6646319523019453,0.6608485442309694,0.21159798785754658,1.8578172429260242,0.2710001194885888,0.2755467688125541,0.5066072344779968,0.34483437363568875,0.21841295725297108,0.11389601892395189,0.008729224357627519,1.2175723797627143,0.009149647903438939,0.008464564903633048,0.003786999651103807
6.0,0.6438318400885277,0.313183850208431,21.96576,21.96576,1.0,0.5326295161599854,0.21607797795955533,0.11183134046570165,0.2799501209726885,0.3428292045424839,2.070347094766835,0.29648951317844796,0.22890714114342542,0.6684464407220183,0.660578969458098,0.2122882822977934,1.8638779854064766,0.2719674723288909,0.2750096562379297,0.5244090557098389,0.3404832152598481,0.2168845996841906,0.11389601892395189,0.00914033723283961,1.351920843253538,0.008624512473914084,0.009582206297529804,0.0038067490666016455
7.0,0.6407474473803777,0.3710173162204681,25.62672,25.62672,1.0,0.5322558572732704,0.2161850878127267,0.11183134046570165,0.280597470080643,0.34408360301716806,2.076018145621165,0.2987743532054626,0.23031691224458942,0.6715359958227406,0.6605203886173663,0.21259421449453358,1.866564051167427,0.2729735832016256,0.2765905779504614,0.5130206346511841,0.3416936916464486,0.21722069891533,0.11389601892395189,0.008019396095278006,1.2647098163488408,0.00763436491523052,0.00835998187507167,0.003784833269973965
8.0,0.6398816864999394,0.38632751665392195,29.28768,29.28768,1.0,0.5258490666118788,0.2093775484470283,0.11183134046570165,0.2863466542740936,0.33418348436369844,2.0844801109204507,0.3023710450618223,0.23150215414929212,0.672921039247055,0.6596316238955416,0.21155363154909698,1.8574277972819302,0.27314039703420234,0.27497822570610925,0.5077263116836548,0.3318920035834485,0.21074531462680138,0.11389601892395189,0.007806995344886713,1.304216983520746,0.007017612961442511,0.008487820411332914,0.004496931644403542
9.0,0.6429901137170565,0.4101653338469625,32.94864,32.94864,1.0,0.5255831868975622,0.20723848006609139,0.11183134046570165,0.28894268960743413,0.3301887609481886,2.1021599894560015,0.302544067550816,0.23322882481576707,0.6733010345949509,0.6599445444747298,0.2115741937585085,1.8576083322084866,0.27419156522808313,0.2757821552723059,0.4877726137638092,0.3277185962779321,0.20867955084449064,0.11389601892395189,0.007350125209276142,1.3056982988982782,0.006806137089251935,0.007844658975581476,0.003598829156982739
10.0,0.6413894862045444,0.4476510379361757,36.6096,36.6096,1.0,0.525185753434165,0.20820553768123548,0.11183134046570165,0.2900895183779606,0.3319467121302669,2.113694701548621,0.3037727461526041,0.23511704430046257,0.6746779091701591,0.6593759539152007,0.2103539554684104,1.8468947155112003,0.27361162418421375,0.27528219304307766,0.4837314188480377,0.3294834649418392,0.21009398672926016,0.11389601892395189,0.007189711659837628,1.3597010888988734,0.006316228984908669,0.007996228395014583,0.0035457618255376124
