round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_prevalence,fed_ece,fed_f1_best_threshold,fed_f1_best,fed_auprc,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885233134825757,0.10750491216306605,0.9136,3.65056,0.9971592150692714,0.6188503343435638,1.7353679496218666,0.11467774420946628,0.3864808609185802,0.5109636874912608,0.2660545323171925,0.19723476390948078,0.24936762622137498,0.19714779036231594,0.585713031486223,0.18975035744955715,1.6659963995427534,0.19036358261897723,0.246209033099625,0.4932662844657898,0.3769351817610111,0.2424840526428748,0.11389601892395189,0.02676063670664104,2.8729154858738184,0.023413310440049354,0.029015433092921594
2.0,0.6820404862024384,0.12653999219202822,1.8272,7.30112,0.9971592150692714,0.6458003909472473,1.8627114124079933,0.11467774420946628,0.35893469304033926,0.5111936281781273,0.2857577585035811,0.2110975721920262,0.22723706112255712,0.2340953966252403,0.6355372036277553,0.21345443184657195,1.8741167063011657,0.24632768361581922,0.27987831377661887,0.4880802631378174,0.37396258273712196,0.23962607273668102,0.11389601892395189,0.018925437214798453,2.1509280763566494,0.016455311356163675,0.020612659624249845
3.0,0.6725962348439329,0.18092295619729165,2.7408,10.95168,0.9971592150692714,0.6554420626204353,1.9365096744226613,0.11467774420946628,0.36705426835761695,0.5250864637057107,0.29349771934041574,0.21962496653322716,0.23288427975806672,0.25124848535141586,0.65909428147085,0.22101781059219444,1.9405227037809594,0.26715638894258653,0.28077512895580653,0.4897536039352417,0.37389154902545596,0.23921423653918414,0.11389601892395189,0.014099941036445329,1.73074747947976,0.01294510913603344,0.014912452065523288
4.0,0.662858256469756,0.20423489718491009,3.6544,14.60224,0.9971592150692714,0.6589543564101396,1.955322378432565,0.11467774420946628,0.3480470153322107,0.529170930741987,0.2926183086344575,0.22232268822155832,0.22044896193602304,0.2697851012572637,0.6658766577637509,0.22307764322903012,1.9586079069012812,0.2742342342342342,0.2812115242551096,0.48694589734077454,0.37215942410333414,0.23747977469801929,0.11389601892395189,0.01124137951695818,1.4741164539009333,0.010941764324211444,0.011460301768643781
5.0,0.6597132144230862,0.2864873345954244,4.568,18.2528,0.9971592150692714,0.6613108212971102,1.97212760370242,0.11467774420946628,0.3382060635714883,0.5231357982320277,0.29871540909187616,0.2241110508953118,0.21395295594508418,0.2724829028975716,0.6661925023651952,0.2244124366559195,1.9703273106126666,0.2750412012451932,0.28203371248458275,0.49087223410606384,0.3728671880206714,0.23811022802917514,0.11389601892395189,0.010107447607246885,1.4102606365922838,0.009559743734589675,0.010526805481819775
6.0,0.657156514999471,0.2650282924205187,4.568,18.2528,0.0,0.6760391395234714,2.132171504196706,0.11467774420946628,0.3407064074643841,0.5412061239094714,0.30948645680293607,0.2415643536452358,0.21604398972385694,0.28639700269745255,0.6661925023651952,0.2244124366559195,1.9703273106126666,0.2750412012451932,0.28203371248458275,0.49087223410606384,0.3728671880206714,0.23811022802917514,0.11389601892395189,0.0,0.0,,
7.0,0.6366408801797527,0.34940865717991576,4.568,18.2528,0.0,0.6839318201510145,2.235574299165025,0.11467774420946628,0.3429005690048424,0.5455665900432931,0.3178520706367062,0.2519945361569708,0.2166302766051449,0.28961977263921124,0.6661925023651952,0.2244124366559195,1.9703273106126666,0.2750412012451932,0.28203371248458275,0.49087223410606384,0.3728671880206714,0.23811022802917514,0.11389601892395189,0.0,0.0,,
8.0,0.621380476290968,0.4174765117205016,4.568,18.2528,0.0,0.693851054852145,2.337447122593575,0.11467774420946628,0.309689856982909,0.5575996242756209,0.32391963753421427,0.2628466127030136,0.1971575347045752,0.3016047637227386,0.6661925023651952,0.2244124366559195,1.9703273106126666,0.2750412012451932,0.28203371248458275,0.49087223410606384,0.3728671880206714,0.23811022802917514,0.11389601892395189,0.0,0.0,,
9.0,0.6505647246133336,0.2860623899992823,5.4816,21.90336,0.9971592150692714,0.6639134940332212,1.9922960970345116,0.11467774420946628,0.3474719398181364,0.5216461323025334,0.299074406443286,0.22647350082515225,0.22018558501831026,0.2745882914856838,0.6472203039688043,0.21904376496396888,1.92319070528904,0.27629682997118155,0.2835951134380454,0.49348998069763184,0.37860235183076635,0.24283549614116315,0.11389601892395189,0.009276245034581349,1.3700893450295553,0.007803597145387852,0.010453262658298094
10.0,0.650870610127626,0.309799659580511,5.4816,21.90336,0.0,0.6759013462475751,2.1352635463892744,0.11467774420946628,0.348689219168287,0.5584519880937274,0.3118746784720829,0.2415172369101668,0.21994964059728433,0.2858161826002812,0.6472203039688043,0.21904376496396888,1.92319070528904,0.27629682997118155,0.2835951134380454,0.49348998069763184,0.37860235183076635,0.24283549614116315,0.11389601892395189,0.0,0.0,,
