round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_ece,fed_auprc,fed_auroc,fed_brier,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6881749336277287,0.10870661897264847,0.526995,3.65056,0.9971592150692714,0.11436304128902317,0.38942695358601165,0.1954337129761759,0.5873917540058438,0.25268563392150184,0.26843681979747136,0.15948945717097457,0.5056951539975488,1.6839526765110038,0.549113810425673,0.13986834360894823,1.2280354039620824,0.0,0.22208303507516108,0.4757024645805359,0.3617862154714618,0.2318058538190998,0.11389601892395189,0.499505328800679,10.569243920966983,0.32213731372353915,0.6429952542413567
2.0,0.6866916820170019,0.0734183544257323,1.05399,7.30112,0.9971592150692714,0.11436304128902317,0.383206651914651,0.22237150944142767,0.6392480298252533,0.24657423213678506,0.28815050986536184,0.20874035851394215,0.5094619248388756,1.9198929855434392,0.33915373976924773,0.08105949671991258,0.7116973664727985,0.0,0.20450951154489178,0.46134576201438904,0.36109114182367974,0.23113253737760714,0.11389601892395189,0.07016276635483011,1.4864195145200938,0.05871360582205109,0.07901939889696179
3.0,0.6808038681616846,0.09333699370444463,1.580985,10.95168,0.9971592150692714,0.11436304128902317,0.3785692370962821,0.22966623762597208,0.6509481908842513,0.2418681751883779,0.29514852224659904,0.23147549424269143,0.510206301725673,1.9907607226083923,0.41388965287162327,0.09918970105183911,0.8708794388859882,0.0,0.20450951154489178,0.4501012861728668,0.36107946831294824,0.231518022290872,0.11389601892395189,0.0418418147982474,1.0137675652222242,0.03442691693638894,0.0482686931864408
4.0,0.6755801664148546,0.11585453076724846,2.10798,14.60224,0.9971592150692714,0.11436304128902317,0.3724497935030336,0.23328113717970456,0.6585534731956239,0.2364801929673658,0.29898100298270114,0.25353167758350714,0.5133815347784445,2.028209652498887,0.37689086981705766,0.09072494397043843,0.7965593953816354,0.0,0.20451875282422052,0.4491496980190277,0.36118326744841744,0.23169594816619998,0.11389601892395189,0.02839408079775062,0.7911049540853128,0.024369080297866528,0.032090718888322406
5.0,0.6696260485661291,0.13480364677891246,2.634975,18.2528,0.9971592150692714,0.11436304128902317,0.36621925333272837,0.2363960328140844,0.6610424576712993,0.23117660481063382,0.3013262574864726,0.259083902956462,0.5131817614248873,2.065174098473215,0.3364955400001476,0.0806196344762832,0.707835403185714,0.0,0.20451875282422052,0.4497906565666199,0.36195240697255227,0.23232521573704265,0.11389601892395189,0.022065825094284768,0.6991164908395149,0.017728736099568963,0.026233739359908307
6.0,0.6650748762230854,0.15120380202893083,2.634975,18.2528,0.0,0.11436304128902317,0.34892027271669535,0.2510161692720311,0.6762566545060535,0.21891925336394372,0.3102523987383832,0.2873564928701997,0.5370193365698704,2.2155740735247496,0.3364955400001476,0.0806196344762832,0.707835403185714,0.0,0.20451875282422052,0.4497906565666199,0.36195240697255227,0.23232521573704265,0.11389601892395189,0.0,0.0,,
7.0,0.6424038562783406,0.281069279206918,2.634975,18.2528,0.0,0.11436304128902317,0.3363600879818977,0.25943262822419105,0.685470708671053,0.2120082115142642,0.31731675945753285,0.2912060794743024,0.5395236407019282,2.29509165985856,0.3364955400001476,0.0806196344762832,0.707835403185714,0.0,0.20451875282422052,0.4497906565666199,0.36195240697255227,0.23232521573704265,0.11389601892395189,0.0,0.0,,
8.0,0.6313349256385391,0.4345262201296457,2.634975,18.2528,0.0,0.11436304128902317,0.34457258630707144,0.2668559419568155,0.6939186565003774,0.21743502710122128,0.3242185750074203,0.29377110238160664,0.56682278792311,2.3674909276313048,0.3364955400001476,0.0806196344762832,0.707835403185714,0.0,0.20451875282422052,0.4497906565666199,0.36195240697255227,0.23232521573704265,0.11389601892395189,0.0,0.0,,
9.0,0.6657878166670973,0.13342559819971833,3.16197,21.90336,0.9971592150692714,0.11436304128902317,0.35795175249070255,0.23790321594656721,0.6620034405612354,0.22502587852454795,0.3033799755995091,0.2805995889172117,0.5065427648366879,2.084628016455712,0.34444765068992617,0.08179961924372625,0.7181955964443645,0.0,0.20451875282422052,0.447952002286911,0.3616748329731423,0.23216535628653356,0.11389601892395189,0.017565205180369588,0.6193961655953899,0.014599712018112204,0.02056386241861313
10.0,0.662109726363892,0.1671999746479667,3.16197,21.90336,0.0,0.11436304128902317,0.34959266070287753,0.24939204419025623,0.6744957240503511,0.21984065313625592,0.3124282958823167,0.2840110710969181,0.5371078105168821,2.199999835479031,0.34444765068992617,0.08179961924372625,0.7181955964443645,0.0,0.20451875282422052,0.447952002286911,0.3616748329731423,0.23216535628653356,0.11389601892395189,0.0,0.0,,
11.0,0.6458210521387252,0.2579704995393802,3.16197,21.90336,0.0,0.11436304128902317,0.3119711807717018,0.2567280053171382,0.6830547292745053,0.19696250795219317,0.3211806868107513,0.29414820240610967,0.5231389459503921,2.2574939415578585,0.34444765068992617,0.08179961924372625,0.7181955964443645,0.0,0.20451875282422052,0.447952002286911,0.3616748329731423,0.23216535628653356,0.11389601892395189,0.0,0.0,,
12.0,0.6289996792903034,0.3304962373603076,3.16197,21.90336,0.0,0.11436304128902317,0.33825804630982853,0.26586045244001427,0.6936995918534142,0.21340742116844977,0.3253932798999711,0.3016727382395968,0.5512246015197472,2.3470808198783373,0.34444765068992617,0.08179961924372625,0.7181955964443645,0.0,0.20451875282422052,0.447952002286911,0.3616748329731423,0.23216535628653356,0.11389601892395189,0.0,0.0,,
13.0,0.6584201958945931,0.16475173929297485,3.688965,25.55392,0.9971592150692714,0.11436304128902317,0.35740511033267597,0.23926305673730386,0.6617802428696956,0.22439389431887502,0.3035048846941747,0.2817859308265577,0.5101560769323166,2.1118147410051025,0.38600533582608954,0.09335359749765476,0.8196388107295194,0.0,0.20451875282422052,0.4435080885887146,0.3602611729636622,0.23111024641868458,0.11389601892395189,0.017421660187277484,0.678322592517361,0.01303887877983191,0.022010885844091565
14.0,0.6568276100327888,0.2179837218387543,3.688965,25.55392,0.0,0.11436304128902317,0.34878331868114915,0.2507820034444452,0.6761867946210829,0.22016466330744783,0.31074582177185256,0.2833923974636034,0.5671531137319099,2.2052459898540686,0.38600533582608954,0.09335359749765476,0.8196388107295194,0.0,0.20451875282422052,0.4435080885887146,0.3602611729636622,0.23111024641868458,0.11389601892395189,0.0,0.0,,
15.0,0.6391291055312299,0.31657027952722294,3.688965,25.55392,0.0,0.11436304128902317,0.3490592504092769,0.25444275896281565,0.680362332849404,0.2208200410265575,0.3105265704369197,0.2802315842827943,0.5787968208538771,2.243079071003891,0.38600533582608954,0.09335359749765476,0.8196388107295194,0.0,0.20451875282422052,0.4435080885887146,0.3602611729636622,0.23111024641868458,0.11389601892395189,0.0,0.0,,
16.0,0.6226966026144809,0.39088398633095955,3.688965,25.55392,0.0,0.11436304128902317,0.36053001904432924,0.26882967940826724,0.6939991562483949,0.2295333984204408,0.327859181562826,0.2800841303372037,0.5720997200256508,2.376815536156654,0.38600533582608954,0.09335359749765476,0.8196388107295194,0.0,0.20451875282422052,0.4435080885887146,0.3602611729636622,0.23111024641868458,0.11389601892395189,0.0,0.0,,
17.0,0.654770428939607,0.1997884073129139,4.21596,29.20448,0.9971592150692714,0.11436304128902317,0.3495368860795163,0.2390375201962855,0.6628147006218008,0.21873388469453808,0.30617473324867345,0.2837445934105207,0.5158093266961918,2.1018486263595313,0.4297559372585642,0.10194832887967004,0.8951000205524365,0.0,0.20451875282422052,0.43775635957717896,0.3580121672521258,0.22945083724392087,0.11389601892395189,0.014918697248973878,0.6389804180071224,0.010767660758374523,0.019393876688941332
18.0,0.6521950619121845,0.22474870258870086,4.21596,29.20448,0.0,0.11436304128902317,0.33518588897178453,0.25032197161604475,0.6748674849939728,0.2109384333711406,0.31043910866242835,0.2885795126555006,0.5461893766491944,2.201891587785112,0.4297559372585642,0.10194832887967004,0.8951000205524365,0.0,0.20451875282422052,0.43775635957717896,0.3580121672521258,0.22945083724392087,0.11389601892395189,0.0,0.0,,
