strategy,compressor,n_seeds,fed_auroc_final_mean,fed_auroc_final_std,fed_auroc_final_ci_lo,fed_auroc_final_ci_hi,fed_auroc_best_mean,fed_auroc_best_std,fed_auroc_best_ci_lo,fed_auroc_best_ci_hi,fed_auroc_ppd_mean,fed_auroc_ppd_std,fed_auroc_ppd_ci_lo,fed_auroc_ppd_ci_hi,fed_auroc_earlystop_value_mean,fed_auroc_earlystop_value_std,fed_auroc_earlystop_value_ci_lo,fed_auroc_earlystop_value_ci_hi,fed_auprc_final_mean,fed_auprc_final_std,fed_auprc_final_ci_lo,fed_auprc_final_ci_hi,fed_auprc_best_mean,fed_auprc_best_std,fed_auprc_best_ci_lo,fed_auprc_best_ci_hi,fed_f1_final_mean,fed_f1_final_std,fed_f1_final_ci_lo,fed_f1_final_ci_hi,fed_f1_best_final_mean,fed_f1_best_final_std,fed_f1_best_final_ci_lo,fed_f1_best_final_ci_hi,fed_ece_final_mean,fed_ece_final_std,fed_ece_final_ci_lo,fed_ece_final_ci_hi,global_auroc_final_mean,global_auroc_final_std,global_auroc_final_ci_lo,global_auroc_final_ci_hi,total_upload_mb_mean,total_upload_mb_std,total_upload_mb_ci_lo,total_upload_mb_ci_hi,divergence_total_mean_mean,divergence_total_mean_std,divergence_total_mean_ci_lo,divergence_total_mean_ci_hi
fedavg,none,5,0.7359961968196835,0.007427680845691586,0.73079030815837,0.7421038477514212,0.7368149311774694,0.007208137952121946,0.7316874074345512,0.7422028684503117,0.0008187343577859884,0.0009540931390249934,0.00024377783865303648,0.001826602752035189,0.7368149311774694,0.007208137952121946,0.7316874074345512,0.7422028684503117,0.32987331896190786,0.005886650036071303,0.32433538693698866,0.33335827273959606,0.3302788003862287,0.006074636194011235,0.32402652736007986,0.3337106279063256,0.31373158924054534,0.006445056530015347,0.3075108417831418,0.31752641000833615,0.36831538521420754,0.006887878171747597,0.36311980478157635,0.3739309758181032,0.31734884600892815,0.008465723210137457,0.30948362676836405,0.32290408560271405,0.6352845655949552,0.0059019127199766664,0.6310232963504336,0.6404593571196979,219.6576,0.0,219.6576,219.6576,0.004826615046518523,5.643354999506987e-05,0.004792627260465069,0.004880372680055821
fedavg,quant4,5,0.6960409943684323,0.01293508216975257,0.6814991175130445,0.7034563010728361,0.7015038435408807,0.008758463890143396,0.6912701833467673,0.7061391106462371,0.005462849172448414,0.004568721302271285,0.0021239144181738113,0.00890038388160912,0.7008382361225075,0.0087966952173537,0.6916224242322657,0.7055079376349701,0.2668076890726909,0.016303572207200173,0.24895033871539413,0.2767000710653082,0.27261224679678986,0.009776650163917764,0.26358685838158824,0.279358898249555,0.2888404632035846,0.009354600730874213,0.2829602960875928,0.2975499338558668,0.324097702862886,0.011666868866286513,0.3131548528801945,0.33132414250422193,0.34414525951580854,0.010701660553848837,0.3324979912407774,0.35047465837413483,0.6446122367495233,0.008769150130237593,0.6381937042010895,0.6517380689475916,27.534,0.0,27.534,27.534,0.011139159885323968,0.0008991579540243867,0.010655821262460003,0.012251461569835151
fedavg,quant8,5,0.7400496931831583,0.004314605868888011,0.7369217321070242,0.7435342702811726,0.7406354758103131,0.0038563129703224,0.7380036072821847,0.7436522394462814,0.000585782627154785,0.0005800049389507517,0.00012556012127120652,0.0009612713222502123,0.7406354758103131,0.0038563129703224,0.7380036072821847,0.7436522394462814,0.33136930030714457,0.0051263080986186016,0.3276466607993161,0.3350382003583799,0.33193748398330464,0.005067964671489592,0.3281521772023538,0.33572279076425543,0.3190012668637689,0.007614791958051655,0.31438861563439013,0.327075128701451,0.37012041801825557,0.007569414750747638,0.3640976412727934,0.3761431947637177,0.3113993225135272,0.005720890427528372,0.30576901802194456,0.3148560437755872,0.6376927074985334,0.007925967337604865,0.6329393190336179,0.6462863662404891,54.991200000000006,7.944109290391274e-15,54.991200000000006,54.991200000000006,0.004906687925299285,5.053032876337733e-05,0.0048759121386958496,0.0049535195174592855
fedavg,stc,5,0.6554698472637666,0.006766185066126277,0.6514157544222835,0.6618783612997381,0.6563954801265968,0.007762781027598649,0.6517461170244554,0.6636860265230047,0.000925632862830228,0.0010427698908332032,0.0002576631833340226,0.0019357427482040279,0.6556455293223582,0.008147142954748008,0.6511497535785228,0.6650243631004144,0.2175045384549402,0.004428730887266952,0.21452984155591187,0.22167006215133664,0.21794702521384623,0.00414521874156739,0.21520035011678398,0.2218157356766845,0.26130382153994447,0.00841431946803061,0.25363351073458434,0.2671485123891897,0.2853646894575628,0.0031292591819321743,0.2832009496890341,0.2883882120889204,0.3774756002959716,0.010159172420306194,0.3698753328687893,0.3849064530559486,0.6609456920467951,0.0019576293263125688,0.6591415477258913,0.6622015282320749,5.2515,0.0,5.2515,5.2515,0.026020653102291937,0.00041297044584302425,0.025763366267954023,0.026428204140872567
fedavg,topk,5,0.6693413053929227,0.005064654079202838,0.666225552779278,0.6741667975780834,0.6694820096280718,0.004936340036520879,0.6664735448106444,0.6748280232434755,0.0001407042351490695,0.00025356555350275196,0.0,0.000374660535701965,0.6694820096280718,0.004936340036520879,0.6664735448106444,0.6748280232434755,0.23328684829801385,0.0041303738251966425,0.22931829288206984,0.23580605218468262,0.23348246491942515,0.004124517766447628,0.22914029203380704,0.23600779780690034,0.2811329821715033,0.003278786142024614,0.27852874160064245,0.28373722274236407,0.30047658090175816,0.0039688700794246546,0.29780392416083995,0.304039927338145,0.3513774253941339,0.012991720774209299,0.34156466342840863,0.361827659854958,0.6650264851159235,0.00376031549131982,0.6630546951790878,0.6698172885162628,31.694849999999995,3.972054645195637e-15,31.694849999999995,31.694849999999995,0.012621806086973119,0.0003131729181422167,0.012384086370025029,0.012873694630794168
nested,none,5,0.6932895278684352,0.004170286619514847,0.6901175938054624,0.696461461931408,0.7491616140741822,0.0041457823574437965,0.7455978359463808,0.75206897412251,0.05587208620574693,0.0012016401755450962,0.05491685810088065,0.05681261018027663,0.7491616140741822,0.0041457823574437965,0.7455978359463808,0.75206897412251,0.26333150585836246,0.005600527212889174,0.2588126493563528,0.2672471154376973,0.33373041747858456,0.005708644789022226,0.3275053479406379,0.33711022718888484,0.28919883083204534,0.005387700900522209,0.28594935712883174,0.2948888648293896,0.31893932721918283,0.003279422575299561,0.31594429704561533,0.3211435947472163,0.3369974334456082,0.011801094292279159,0.32976797598193885,0.348232993907044,0.5293516190223385,0.1002172504961332,0.4497326665592099,0.608970571485467,128.69632,0.0,128.69632,128.69632,0.006822381422780491,0.00010718390758103002,0.006740390163322632,0.006908791945822219
nested,quant4,5,0.6860614224066311,0.005608400684370334,0.681669375007055,0.6908104718517287,0.7437801729707866,0.002918541661298469,0.7411050228163694,0.7458600959908581,0.05771875056415552,0.00456494369013812,0.05350259004456763,0.0606561342392423,0.7437801729707866,0.002918541661298469,0.7411050228163694,0.7458600959908581,0.2533592749841946,0.004768683796700201,0.24965914955995627,0.25728436899420815,0.3231961353417826,0.006394878855147339,0.31772327050714666,0.3274691554809857,0.2852227255897642,0.007051313579914382,0.2796203417033411,0.29092198446701245,0.3116850899732241,0.002215328452908346,0.3094598388155136,0.31305528087954937,0.34200395897762725,0.008854293148710453,0.33666185447735186,0.35048605114460235,0.5483955601244485,0.11104506827611059,0.43356685687787017,0.6124300311592848,16.12576,0.0,16.12576,16.12576,0.018478047590513656,0.0006184283206187606,0.01811310920441946,0.019117670848557745
nested,quant8,5,0.6914420686249263,0.005465669799266792,0.6880381317415717,0.6966209097585054,0.74724963730965,0.0020532222495109765,0.7456461261588097,0.7488531484604903,0.055807568684723655,0.0037977585768195314,0.052040977410178546,0.05806662947030714,0.74724963730965,0.0020532222495109765,0.7456461261588097,0.7488531484604903,0.26214815444607537,0.004311533270281777,0.2583942765962169,0.2650807993122458,0.3309713900317275,0.00800356409374464,0.324878465381497,0.33693095813130947,0.2909921471047082,0.005895606817877396,0.2850033596554301,0.294802241181947,0.3177866824795384,0.002264222984025541,0.31621547120855265,0.3195950793365602,0.335659032902217,0.010206932952537606,0.3294501561080014,0.3456064569993533,0.5518597409020114,0.05002389980767957,0.5235310201614973,0.6009398284409629,32.2128,0.0,32.2128,32.2128,0.0068988446076966746,0.00011281336411529688,0.006806291692162562,0.006975304015549593
nested,stc,5,0.6561745561627171,0.007501366294412009,0.6518581642865354,0.6632450366347301,0.6949491898896677,0.004393223297137916,0.6912938871994336,0.6981381472460079,0.0387746337269506,0.0048825863346889575,0.034116324365122484,0.041983809628253946,0.6942819366394796,0.003910206888230688,0.6911297319067693,0.6972082980572116,0.21892630231574084,0.005160270163508323,0.21570872217711914,0.22384136348501005,0.2556279174204638,0.009356724208334225,0.2500910838291655,0.2645251749519665,0.26684442892828897,0.006320300658445329,0.26268059008376293,0.2726856580401746,0.288088893424883,0.003994951642334621,0.2848576885576643,0.2911932937212632,0.3135597555136839,0.0047314027586171864,0.3072020822663033,0.3159146250299025,0.5127089452341423,0.13430666112192838,0.4078090921179454,0.6176087983503394,3.00044,0.0,3.00044,3.00044,0.04876395637385938,0.0016904147445053134,0.04724083554935297,0.04989073674781539
nested,topk,5,0.6621767401159487,0.007125047768924185,0.6585156700586763,0.6715475237196623,0.6998784323895728,0.00468341804054375,0.695898592963398,0.703769955804176,0.037701692273624056,0.004094385280836575,0.03395580683684947,0.040433323924979024,0.6990331620299486,0.004265850422067586,0.6959814609040655,0.7026455432967367,0.22491071484946096,0.0052166779613989816,0.22192994348046033,0.23023944437861762,0.26783137678322033,0.0069625122797695345,0.26246075550777165,0.27301562001329993,0.2737704483996311,0.00221872783080408,0.2720232905318648,0.27536385259951185,0.2914613068400098,0.0033262490497311626,0.2890239190924181,0.2944761140100618,0.32699849383155655,0.0030451871767641593,0.3244500813628361,0.3291371352128142,0.5587592387181307,0.13902920706541508,0.42594051991575405,0.6538823611381831,18.4230825,0.0,18.4230825,18.4230825,0.01914787004787525,0.0003630101288626055,0.018912057109737777,0.01949623772318141
