n_clients,strategy,wall_s,s_per_round,peak_mem_mb,auroc,upload_mb
10,fedavg,83.2707431393331,2.77569143797777,68.52099609375,0.7174507623569882,54.9144
10,fedlama,81.58057782033332,2.7193525940111107,68.52099609375,0.72783555322605,32.50176
10,fedper,82.28077078366793,2.7426923594555976,68.52001953125,0.7178418700300555,54.7584
10,nested,82.52369682900219,2.7507898943000733,68.52001953125,0.6852677760864565,32.59136
20,fedavg,83.5175721133334,2.7839190704444463,77.28564453125,0.7102507991424304,109.8288
20,fedlama,83.62876519066656,2.787625506355552,77.28564453125,0.7344150851195832,62.82213333333333
20,fedper,84.12399316666658,2.8041331055555525,77.28466796875,0.707891619414793,109.5168
20,nested,83.98346833566636,2.7994489445222115,77.28466796875,0.6789133425863719,65.18272
50,fedavg,89.16698202099724,2.9722327340332413,103.57958984375,0.7083491466259059,274.572
50,fedlama,89.22975392933343,2.9743251309777814,103.57958984375,0.7409858021432623,149.376
50,fedper,88.553641505001,2.9517880501666998,103.57861328125,0.7054037770352956,273.792
50,nested,87.72435876600018,2.9241452922000057,103.57861328125,0.6752676089976936,162.9568
100,fedavg,89.33144097799959,2.9777146992666528,122.56966145833333,0.7097841823136002,393.5532
100,fedlama,90.07945719300066,3.002648573100022,122.56966145833333,0.7249409385459232,190.04988533333335
100,fedper,89.70314702200024,2.9901049007333413,122.56868489583333,0.707821173131966,392.43520000000007
100,nested,89.72443554099907,2.990814518033302,122.56868489583333,0.6759427865247615,233.57141333333334
